gemeenten_2022,bevolking_totaal
Katwijk,66032
Krimpen aan den IJssel,29415
Krimpenerwaard,57062
Lansingerland,64110
Leiden,125074
Leiderdorp,27464
Leidschendam-Voorburg,76659
Lisse,23015
Maassluis,34148
Midden-Delfland,19484
Molenlanden,44644
Nieuwkoop,29304
Nissewaard,86332
Noordwijk,44365
Oegstgeest,25499
Papendrecht,32208
Pijnacker-Nootdorp,56572
Ridderkerk,47099
Rijswijk,NA
Rotterdam,655468
Schiedam,79644
Sliedrecht,25897
Teylingen,37942
Vlaardingen,74143
Voorschoten,25627
Waddinxveen,31342
Wassenaar,27115
Westland,112448
Westvoorne,14960
Zoetermeer,125767
Zoeterwoude,9302
Zuidplas,45794
Zwijndrecht,44789
Zuid Hollandse Meren,NA
