№ рішення,Форма судового рішення,Дата ухвалення рішення,Дата набрання законної сили,Форма судочинства,№ судової справи,Назва суду,Суддя
101476997,Ухвала,21.04.0211,26.04.2011,Адміністративне,2-а-2968/11,Києво-Святошинський районний суд Київської області,Усатов Д. Д.
107872773,Рішення,23.04.1982,03.05.1982,Цивільне,2-7/1982,Рокитнянський районний суд Київської області,Манацюк П.К.
121394447,Рішення,08.12.1982,18.12.1982,Цивільне,2-284/1982,Рокитнянський районний суд Київської області,Подопригора Н. А.
107751396,Рішення,24.03.1983,03.05.1983,Цивільне,2-73/1983,Рокитнянський районний суд Київської області,Подопригора Н. А.
123881459,Рішення,29.12.1992,08.01.1993,Цивільне,2-111/92,Рокитнянський районний суд Київської області,Поліщук Н. А.
117308392,Рішення,01.06.1994,11.06.1994,Цивільне,2-122/1994,Рокитнянський районний суд Київської області,Дерепа В. І.
99765063,Рішення,05.12.1995,16.12.1995,Цивільне,2-1292/1995,Білоцерківський міськрайонний суд Київської області,Сливка В. В.
126839871,Рішення,07.03.1997,17.03.1997,Цивільне,2-38/1997,Рокитнянський районний суд Київської області,Поліщук Н. О.
99555292,Рішення,18.05.1997,23.05.1997,Цивільне,2-1182,Білоцерківський міськрайонний суд Київської області,Тридуб С.М.
100076048,Рішення,18.05.1997,23.05.1997,Цивільне,2-1182,Білоцерківський міськрайонний суд Київської області,Тридуб С.М.
99603221,Рішення,01.11.1997,11.11.1997,Цивільне,2-1307/1997,Фастівський міськрайонний суд Київської області,Вишняк В. І.
116432315,Рішення,11.11.1998,22.11.1998,Цивільне,2-326/1998,Таращанський районний суд Київської області,Бабоїд О. М.
121761615,Ухвала,29.05.1999,29.05.1999,Цивільне,2-503/1999,Васильківський міськрайонний суд Київської області,Очківський В. М.
121761614,Ухвала,21.08.1999,21.08.1999,Цивільне,2-503/1999,Васильківський міськрайонний суд Київської області,Очківський В. М.
121761613,Рішення,28.12.1999,10.01.2000,Цивільне,2-503/1999,Васильківський міськрайонний суд Київської області,Очківський В. М.
124008020,Рішення,01.07.2000,11.07.2000,Цивільне,2-361/2000,Рокитнянський районний суд Київської області,Поліщук Н. А.
126175399,Рішення,17.08.2000,27.08.1999,Цивільне,2-329/1999,Рокитнянський районний суд Київської області,Рибченко А.О
111177003,Рішення,09.02.2001,20.02.2001,Цивільне,2-30/2001,Володарський районний суд Київської області,Яковенко О. М.
110190746,Рішення,12.03.2001,22.03.2001,Цивільне,2-5/2001,Володарський районний суд Київської області,Юзвик М. М.
89649620,Рішення,26.04.2001,08.05.2001,Цивільне,2-714/2001,Броварський міськрайонний суд Київської області,Бендик О. Г.
123390066,Рішення,16.10.2001,29.10.2001,Цивільне,2-902/2001,Васильківський міськрайонний суд Київської області,Очківський В. М.
71123954,Постанова,20.12.2001,,Справи про адміністративні правопорушення,381/4025/17,Фастівський міськрайонний суд Київської області,Буймова Л. П.
69319394,Ухвала,31.12.2001,,Цивільне,2-н-559/11,Ірпінський міський суд Київської області,Оладько С. І.
69319493,Ухвала,31.12.2001,,Цивільне,2-н-560/11,Ірпінський міський суд Київської області,Оладько С. І.
69319349,Ухвала,31.12.2001,16.09.2011,Цивільне,2-1792/11,Ірпінський міський суд Київської області,Оладько С. І.
69319417,Ухвала,31.12.2001,29.09.2011,Цивільне,2-2065/11,Ірпінський міський суд Київської області,Оладько С. І.
69325488,Ухвала,01.01.2002,03.04.2012,Адміністративне,2-а-16/12,Ірпінський міський суд Київської області,Оладько С. І.
69326249,Ухвала,01.01.2002,31.01.2013,Цивільне,367/751/13- ц,Ірпінський міський суд Київської області,Оладько С. І.
69319202,Ухвала,01.01.2002,19.07.2011,Адміністративне,2-а-5899/11,Ірпінський міський суд Київської області,Оладько С. І.
69319466,Ухвала,01.01.2002,26.09.2011,Цивільне,2-2060/11,Ірпінський міський суд Київської області,Оладько С. І.
69319544,Ухвала,01.01.2002,10.10.2011,Адміністративне,2-а-10375/11,Ірпінський міський суд Київської області,Оладько С. І.
69325942,Постанова,01.01.2002,28.02.2013,Адміністративне,2-а-8094/11,Ірпінський міський суд Київської області,Оладько С. І.
69319365,Ухвала,01.01.2002,01.09.2011,Цивільне,2-1723/11,Ірпінський міський суд Київської області,Оладько С. І.
69318269,Постанова,01.01.2002,21.05.2013,Адміністративне,2-а-10789/11,Ірпінський міський суд Київської області,Оладько С. І.
69325077,Ухвала,01.01.2002,27.02.2012,Адміністративне,2-а-243/12,Ірпінський міський суд Київської області,Оладько С. І.
87092537,Ухвала,17.01.2002,,Кримінальне,359/277/20,Бориспільський міськрайонний суд Київської області,
106744558,Рішення,22.03.2002,29.04.2002,Цивільне,2-1/02,Рокитнянський районний суд Київської області,Каленченко Н.О
106891884,Рішення,29.03.2002,29.04.2002,Цивільне,2-1/02,Рокитнянський районний суд Київської області,Каленченко Н.О
119317042,Рішення,15.05.2002,17.06.2002,Цивільне,2-797/2002,Васильківський міськрайонний суд Київської області,Очківський В. М.
96203150,Ухвала,04.06.2002,04.06.2002,Кримінальне,367/2558/21,Ірпінський міський суд Київської області,
111328560,Ухвала,05.06.2002,,Кримінальне,357/6429/23,Білоцерківський міськрайонний суд Київської області,
66765340,Ухвала,20.11.2002,,Цивільне,1003/16934/12,Білоцерківський міськрайонний суд Київської області,Кошель Л. М.
13801329,Ухвала,19.02.2003,,Цивільне,2-107/2003,Переяслав-Хмельницький міськрайонний суд Київської області,Рева О.І.
13800877,Ухвала,23.04.2003,,Цивільне,2-214/2003,Переяслав-Хмельницький міськрайонний суд Київської області,Рева О.І.
13801810,Ухвала,21.05.2003,,Цивільне,2-326/2003,Переяслав-Хмельницький міськрайонний суд Київської області,Рева О.І.
13801811,Ухвала,11.06.2003,,Цивільне,2-17/2003,Переяслав-Хмельницький міськрайонний суд Київської області,Рева О.І.
13801710,Ухвала,03.07.2003,,Цивільне,2-490/2003,Переяслав-Хмельницький міськрайонний суд Київської області,Рева О.І.
13802213,Ухвала,30.07.2003,,Цивільне,2-535/2003,Переяслав-Хмельницький міськрайонний суд Київської області,Рева О.І.
98120043,Ухвала,27.10.2003,27.10.2003,Господарське,190/19-03,Господарський суд Київської області,Агрикова О.В.(Переведен)
13801451,Ухвала,17.12.2003,,Цивільне,2-810/2003,Переяслав-Хмельницький міськрайонний суд Київської області,Рева О.І.
13801728,Ухвала,17.12.2003,,Цивільне,2-809/2003,Переяслав-Хмельницький міськрайонний суд Київської області,Рева О.І.
13800939,Ухвала,24.12.2003,,Цивільне,2-813/2003,Переяслав-Хмельницький міськрайонний суд Київської області,Рева О.І.
98120041,Ухвала,04.02.2004,04.02.2004,Господарське,24/5-04,Господарський суд Київської області,Фаловська І.М. (Переведена)
94478794,Рішення,06.02.2004,06.03.2004,Цивільне,2-375/2004,Ірпінський міський суд Київської області,Савченко С. І.
13802288,Ухвала,14.04.2004,,Цивільне,2-14/2004,Переяслав-Хмельницький міськрайонний суд Київської області,Рева О.І.
108543112,Рішення,12.05.2004,14.06.2004,Цивільне,2-412/2004,Макарівський районний суд Київської області,Тюхтій П. М.
109299604,Рішення,13.05.2004,07.06.2004,Господарське,137/4-04,Господарський суд Київської області,Міщенко П. К.
109299618,Рішення,11.06.2004,29.06.2004,Господарське,161/4-04,Господарський суд Київської області,Міщенко П. К.
92624344,Ухвала,20.07.2004,20.07.2004,Господарське,133/10б-98,Господарський суд Київської області,Кравчук Г. А.
120704011,Рішення,20.07.2004,20.08.2004,Цивільне,2-397/2004,Баришівський районний суд Київської області,Лисюк О. Д.
109287294,Рішення,23.07.2004,23.08.2004,Цивільне,2-341/2004,Баришівський районний суд Київської області,Лисюк О. Д.
122930499,Рішення,16.08.2004,16.09.2004,Цивільне,2-1076/04,Васильківський міськрайонний суд Київської області,Бабіш А. А.
124482193,Рішення,30.09.2004,30.10.2004,Цивільне,2-330/2004,Рокитнянський районний суд Київської області,Литвин О. В.
99622141,Рішення,17.11.2004,17.12.2004,Цивільне,2-13069/2004,Білоцерківський міськрайонний суд Київської області,Верещак А. М.
13801732,Ухвала,26.11.2004,,Цивільне,2-1082/2004,Переяслав-Хмельницький міськрайонний суд Київської області,Рева О.І.
92673069,Ухвала,20.12.2004,20.12.2004,Господарське,133/10б-98,Господарський суд Київської області,Кравчук Г. А.
118969901,Ухвала,14.01.2005,01.02.2005,Цивільне,2-231/2005,Васильківський міськрайонний суд Київської області,Очківський В. М.
846313,Рішення,17.01.2005,,Цивільне,2-о-1-2007,Бородянський районний суд Київської області,Додатко В.Д.
119700508,Рішення,25.01.2005,,Цивільне,2-29/2005,Володарський районний суд Київської області,Яковенко О. М.
122564153,Рішення,16.02.2005,,Цивільне,2-390/05,Ірпінський міський суд Київської області,Савченко С. І.
13801924,Ухвала,01.03.2005,,Цивільне,2-242/2005,Переяслав-Хмельницький міськрайонний суд Київської області,Рева О.І.
13801731,Ухвала,02.03.2005,,Цивільне,2-160/2005,Переяслав-Хмельницький міськрайонний суд Київської області,Рева О.І.
108543116,Рішення,31.03.2005,02.05.2005,Цивільне,370/202/23,Макарівський районний суд Київської області,Білоцька Л. В.
108543117,Рішення,31.03.2005,02.05.2005,Цивільне,2-408/2005,Макарівський районний суд Київської області,Дзюба Н. М.
99905324,Рішення,04.04.2005,04.05.2005,Цивільне,2-386/2005,Макарівський районний суд Київської області,Устимчук М. Ю.
13802047,Ухвала,07.04.2005,,Цивільне,2-247/2005,Переяслав-Хмельницький міськрайонний суд Київської області,Рева О.І.
1338531,Ухвала,11.04.2005,,Цивільне,2-614/2005,Баришівський районний суд Київської області,Коваленко К.В.
13801722,Ухвала,11.04.2005,,Цивільне,2-360/2005,Переяслав-Хмельницький міськрайонний суд Київської області,Рева О.І.
2426731,Ухвала,20.04.2005,,Цивільне,2-974/2005,Вишгородський районний суд Київської області,Лебезун В.І.
109646538,Рішення,21.04.2005,23.05.2005,Цивільне,2-475/2005,Макарівський районний суд Київської області,Устимчук М. Ю.
1900592,Ухвала,25.04.2005,,Кримінальне,11-4472007,Апеляційний суд Київської області,
9419168,Ухвала,05.05.2005,,Цивільне,22-ц-1720-09,Апеляційний суд Київської області,Оношко Г.М.
13801096,Ухвала,13.05.2005,,Цивільне,2-377/2005,Переяслав-Хмельницький міськрайонний суд Київської області,Рева О.І.
97569952,Рішення,23.05.2005,28.11.2005,Цивільне,2-79/05,Ірпінський міський суд Київської області,Савченко Сергій Іванович
97569953,Ухвала,21.06.2005,07.07.2005,Цивільне,2-79/05,Ірпінський міський суд Київської області,Савченко С. І.
109344433,Ухвала,30.06.2005,18.07.2005,Цивільне,5/2-141/05,Вишгородський районний суд Київської області,Котлярова І. Ю.
77304,Ухвала,05.07.2005,,Кримінальне,11-638-2006,Апеляційний суд Київської області,
112793060,Рішення,04.08.2005,05.09.2005,Цивільне,2-319/2005,Володарський районний суд Київської області,Яковенко О. М.
13801331,Ухвала,19.08.2005,,Цивільне,2-720/2005,Переяслав-Хмельницький міськрайонний суд Київської області,Рева О.І.
69957255,Постанова,22.09.2005,,Кримінальне,1-п-9/05,Вишгородський районний суд Київської області,
116741301,Рішення,28.09.2005,09.10.2005,Цивільне,2-524/2005,Баришівський районний суд Київської області,Коваленко К. В.
106441376,Рішення,26.10.2005,04.10.2005,Цивільне,2-3390/05,Фастівський міськрайонний суд Київської області,Бартко В. М.
95202514,Рішення,02.11.2005,,Господарське,241/11-05,Господарський суд Київської області,Мальована Л.Я.
13801606,Ухвала,24.11.2005,,Цивільне,2-931/2005,Переяслав-Хмельницький міськрайонний суд Київської області,Рева О.І.
98120042,Ухвала,29.11.2005,29.11.2005,Господарське,24/5-04,Господарський суд Київської області,Фаловська І.М. (Переведена)
95851237,Ухвала,30.11.2005,,Цивільне,2-1247/05,Макарівський районний суд Київської області,Тюхтій П. М.
3049712,Рішення,14.12.2005,,Цивільне,2-8984/05,Білоцерківський міськрайонний суд Київської області,Голуб А.В.
122564154,Ухвала,16.12.2005,25.10.2024,Цивільне,2-390/05,Ірпінський міський суд Київської області,Савченко С. І.
638321,Ухвала,10.01.2006,,Цивільне,2-166-2007,Фастівський міськрайонний суд Київської області,Остахнович А.В.
446378,Ухвала,16.01.2006,,Цивільне,22-ц-3584/2006,Апеляційний суд Київської області,Данілов О.М.
489956,Вирок,18.01.2006,,Кримінальне,7/1-288/06,Вишгородський районний суд Київської області,
698536,Постанова,19.01.2006,,Адміністративне,22а-0682/2006,Апеляційний суд Київської області,Коцюрба О.П.
698541,Ухвала,22.01.2006,,Адміністративне,22-а-1349/06,Апеляційний суд Київської області,Оношко Г.М.
111638077,Рішення,25.01.2006,06.02.2006,Цивільне,2-127/2006,Макарівський районний суд Київської області,Устимчук М. Ю.
97534164,Рішення,27.01.2006,27.02.2006,Цивільне,2-147/06,Макарівський районний суд Київської області,Устимчук М. Ю.
749305,Постанова,31.01.2006,,Адміністративне,7/2-а-1041,Вишгородський районний суд Київської області,Чірков Г.Є.
31534347,Рішення,07.02.2006,,Господарське,19/5-06,Господарський суд Київської області,Кошик А.Ю.
31534405,Рішення,07.02.2006,,Господарське,20/5-06,Господарський суд Київської області,Кошик А.Ю.
31534600,Рішення,07.02.2006,,Господарське,22/5-06,Господарський суд Київської області,Кошик А.Ю.
31534624,Рішення,07.02.2006,,Господарське,16/5-06,Господарський суд Київської області,Кошик А.Ю.
31534627,Рішення,07.02.2006,,Господарське,21/5-06,Господарський суд Київської області,Кошик А.Ю.
13802714,Постанова,14.02.2006,,Справи про адміністративні правопорушення,3-888/2006,Переяслав-Хмельницький міськрайонний суд Київської області,Потоцький В.В.
115764659,Рішення,27.02.2006,10.03.2006,Цивільне,2-507/2006,Фастівський міськрайонний суд Київської області,Остахнович А. В.
124152203,Ухвала,28.02.2006,06.03.2006,Цивільне,2-506/2007,Броварський міськрайонний суд Київської області,Сердинський В. С.
70296902,Постанова,01.03.2006,09.03.2006,Кримінальне,1-96/06,Вишгородський районний суд Київської області,
2140257,Ухвала,02.03.2006,,Цивільне,22ц-4331/06,Апеляційний суд Київської області,Коцюрба О.П.
2059717,Ухвала,07.03.2006,,Кримінальне,11-267-2007,Апеляційний суд Київської області,
94740099,Ухвала,10.03.2006,10.03.2006,Цивільне,2-2/10,Іванківський районний суд Київської області,Гавриленко В. Г.
1028726,Рішення,14.03.2006,,Цивільне,2-38/06,Згурівський районний суд Київської області,Денисенко Н.О.
946799,Постанова,16.03.2006,,Адміністративне,2а-22007,Баришівський районний суд Київської області,Коваленко К.В.
2328870,Ухвала,22.03.2006,,Адміністративне,2а-762007,Фастівський міськрайонний суд Київської області,Панасюк С.П.
1590099,Рішення,27.03.2006,,Цивільне,2-2598/2006,Бориспільський міськрайонний суд Київської області,Левченко А.В.
1519819,Рішення,30.03.2006,,Цивільне,2-0-212007,Макарівський районний суд Київської області,Устимчук М.Ю.
13801970,Ухвала,05.04.2006,,Цивільне,2-351/2006,Переяслав-Хмельницький міськрайонний суд Київської області,Рева О.І.
94740100,Ухвала,10.04.2006,10.04.2006,Цивільне,2-2/10,Іванківський районний суд Київської області,Гавриленко В. Г.
13802479,Ухвала,20.04.2006,,Цивільне,2-355/2006,Переяслав-Хмельницький міськрайонний суд Київської області,Рева О.І.
13801766,Ухвала,26.04.2006,,Цивільне,2-354/2006,Переяслав-Хмельницький міськрайонний суд Київської області,Рева О.І.
70296783,Ухвала,26.05.2006,,Цивільне,-,Васильківський міськрайонний суд Київської області,Пироженко О. В.
102696075,Ухвала,26.05.2006,,Цивільне,2-1289/06,Бориспільський міськрайонний суд Київської області,Корнієць М. І.
27316,Постанова,01.06.2006,,Господарське,10/161,Київський міжобласний апеляційний господарський суд,Зеленіна Н.І.
27320,Постанова,01.06.2006,,Господарське,16/25,Київський міжобласний апеляційний господарський суд,Рибченко А.О.
40287,Постанова,01.06.2006,,Господарське,16/3070,Київський міжобласний апеляційний господарський суд,Рибченко А.О.
40318,Ухвала,01.06.2006,,Господарське,07/792,Київський міжобласний апеляційний господарський суд,Зеленіна Н.І.
4868,Рішення,01.06.2006,,Господарське,131/19-06,Господарський суд Київської області,Грєхов А.С.
50398,Постанова,01.06.2006,,Господарське,10/129,Київський міжобласний апеляційний господарський суд,Зеленіна Н.І.
50399,Ухвала,01.06.2006,,Господарське,5/438,Київський міжобласний апеляційний господарський суд,Федоров М.О.
50402,Постанова,01.06.2006,,Господарське,22/471,Київський міжобласний апеляційний господарський суд,Рибченко А.О.
27483,Постанова,01.06.2006,,Господарське,03/880а,Київський міжобласний апеляційний господарський суд,Федоров М.О.
27368,Постанова,01.06.2006,,Господарське,35/15-06,Київський міжобласний апеляційний господарський суд,Рибченко А.О.
40297,Ухвала,01.06.2006,,Господарське,115/12-06,Київський міжобласний апеляційний господарський суд,Фаловська І.М.
40391,Ухвала,01.06.2006,,Господарське,8/594,Київський міжобласний апеляційний господарський суд,Андрейцева Г.М.
4729,Ухвала,01.06.2006,,Господарське,123/19-06,Господарський суд Київської області,Грєхов А.С.
8477,Ухвала,01.06.2006,,Господарське,70/14б-04,Господарський суд Київської області,Кравчук Г.А.
8478,Ухвала,01.06.2006,,Господарське,70/14б-04,Господарський суд Київської області,Кравчук Г.А.
8482,Ухвала,01.06.2006,,Господарське,81/14б-04,Господарський суд Київської області,Кравчук Г.А.
8590,Ухвала,01.06.2006,,Господарське,74/14б-06,Господарський суд Київської області,Грєхов А.С.
8631,Ухвала,01.06.2006,,Господарське,121/14б-06,Господарський суд Київської області,Грєхов А.С.
91283,Ухвала,01.06.2006,,Господарське,3/99,Київський міжобласний апеляційний господарський суд,Корсакова Г.В.
93999,Постанова,01.06.2006,,Господарське,01/1893,Київський міжобласний апеляційний господарський суд,Рибченко А.О.
60994,Ухвала,01.06.2006,,Господарське,16/1570а,Київський міжобласний апеляційний господарський суд,Федоров М.О.
768,Рішення,01.06.2006,,Господарське,152/13-06,Господарський суд Київської області,Короткевич О.Є.
8463,Ухвала,01.06.2006,,Господарське,77/14б-02,Господарський суд Київської області,Короткевич О.Є.
8965,Ухвала,01.06.2006,,Господарське,158/14б-06,Господарський суд Київської області,Короткевич О.Є.
8887,Ухвала,01.06.2006,,Господарське,155/14б-06,Господарський суд Київської області,Короткевич О.Є.
8924,Ухвала,01.06.2006,,Господарське,157/14б-06,Господарський суд Київської області,Короткевич О.Є.
91276,Ухвала,01.06.2006,,Господарське,11/409-7/4,Київський міжобласний апеляційний господарський суд,Мельник С.М.
91284,Ухвала,01.06.2006,,Господарське,3/115,Київський міжобласний апеляційний господарський суд,Корсакова Г.В.
27151,Постанова,01.06.2006,,Господарське,20/333,Київський міжобласний апеляційний господарський суд,Зеленіна Н.І.
40317,Ухвала,01.06.2006,,Господарське,19/3а-2006,Київський міжобласний апеляційний господарський суд,Зеленіна Н.І.
50410,Ухвала,01.06.2006,,Господарське,8/608,Київський міжобласний апеляційний господарський суд,Рудченко С.Г.
4480,Ухвала,01.06.2006,,Господарське,77/14б-06,Господарський суд Київської області,Грєхов А.С.
8492,Ухвала,01.06.2006,,Господарське,152/14б-04,Господарський суд Київської області,Кравчук Г.А.
8975,Ухвала,01.06.2006,,Господарське,156/14б-06,Господарський суд Київської області,Короткевич О.Є.
91281,Ухвала,01.06.2006,,Господарське,10/11,Київський міжобласний апеляційний господарський суд,Мостова Г.І.
4472,Ухвала,01.06.2006,,Господарське,67/19-06,Господарський суд Київської області,Грєхов А.С.
8879,Ухвала,01.06.2006,,Господарське,153/14б-06,Господарський суд Київської області,Короткевич О.Є.
8589,Ухвала,01.06.2006,,Господарське,75/14б-06,Господарський суд Київської області,Грєхов А.С.
8853,Ухвала,01.06.2006,,Господарське,154/14б-06,Господарський суд Київської області,Короткевич О.Є.
8481,Ухвала,01.06.2006,,Господарське,81/14б-04,Господарський суд Київської області,Кравчук Г.А.
50401,Постанова,01.06.2006,,Господарське,02-15-11/1952,Київський міжобласний апеляційний господарський суд,Федоров М.О.
40348,Ухвала,01.06.2006,,Господарське,11/744,Київський міжобласний апеляційний господарський суд,Андрейцева Г.М.
40396,Ухвала,01.06.2006,,Господарське,10/197,Київський міжобласний апеляційний господарський суд,Андрейцева Г.М.
40295,Ухвала,01.06.2006,,Господарське,116/12-06,Київський міжобласний апеляційний господарський суд,Фаловська І.М.
104815,Постанова,01.06.2006,,Адміністративне,22-а-436,Апеляційний суд Київської області,Лащенко В.Д.
104773,Ухвала,01.06.2006,,Цивільне,22-ц - 1514,Апеляційний суд Київської області,Лащенко В.Д.
104743,Рішення,01.06.2006,,Цивільне,22ц-1868/2006,Апеляційний суд Київської області,Корзаченко І.Ф.
91272,Ухвала,01.06.2006,,Господарське,02-03/875/16,Київський міжобласний апеляційний господарський суд,Мельник С.М.
77308,Постанова,01.06.2006,,Кримінальне,10п-68-2006,Апеляційний суд Київської області,
77293,Постанова,01.06.2006,,Кримінальне,10п-61-2006,Апеляційний суд Київської області,
79102,Постанова,01.06.2006,,Кримінальне,10п-67-2006,Апеляційний суд Київської області,
77276,Ухвала,01.06.2006,,Кримінальне,10-75-2006,Апеляційний суд Київської області,
104427,Ухвала,01.06.2006,,Цивільне,.22-ц-1492,Апеляційний суд Київської області,Лащенко В.Д.
77282,Постанова,01.06.2006,,Кримінальне,10п-63-2006,Апеляційний суд Київської області,
77292,Постанова,01.06.2006,,Кримінальне,10п-66-2006,Апеляційний суд Київської області,
79103,Постанова,01.06.2006,,Кримінальне,10п-65-2006,Апеляційний суд Київської області,
104792,Ухвала,01.06.2006,,Цивільне,22-ц - 1582,Апеляційний суд Київської області,Лащенко В.Д.
25151,Постанова,01.06.2006,,Господарське,148/12-06,Господарський суд Київської області,Грєхов А.С.
104425,Ухвала,01.06.2006,,Цивільне,22ц-1860/ 2006,Апеляційний суд Київської області,Хопта С.Ф.
60896,Ухвала,01.06.2006,,Господарське,270/14-05,Київський міжобласний апеляційний господарський суд,Мостова Г.І.
2,Рішення,01.06.2006,,Господарське,134/2-2006,Господарський суд Київської області,Короткевич О.Є.
79104,Постанова,01.06.2006,,Кримінальне,10п-64-2006,Апеляційний суд Київської області,
25148,Ухвала,01.06.2006,,Господарське,155/12-06,Господарський суд Київської області,Грєхов А.С.
79105,Постанова,01.06.2006,,Кримінальне,10п-62-2006,Апеляційний суд Київської області,
104814,Ухвала,01.06.2006,,Цивільне,22ц-1308,Апеляційний суд Київської області,Лащенко В.Д.
91273,Ухвала,01.06.2006,,Господарське,02-03/876/16,Київський міжобласний апеляційний господарський суд,Мельник С.М.
27248,Ухвала,01.06.2006,,Господарське,а32/13-06,Київський міжобласний апеляційний господарський суд,Шевченко В.Ю.
27738,Ухвала,01.06.2006,,Господарське,02/1312,Київський міжобласний апеляційний господарський суд,Андрейцева Г.М.
4778,Рішення,01.06.2006,,Господарське,128/19-06,Господарський суд Київської області,Грєхов А.С.
8480,Ухвала,01.06.2006,,Господарське,81/14б-04,Господарський суд Київської області,Кравчук Г.А.
123766434,Ухвала,01.06.2006,11.06.2006,Цивільне,2-560/06,Рокитнянський районний суд Київської області,Нечепоренко Л. М.
50406,Ухвала,02.06.2006,,Господарське,11/1052,Київський міжобласний апеляційний господарський суд,Рибченко А.О.
50408,Ухвала,02.06.2006,,Господарське,14/125,Київський міжобласний апеляційний господарський суд,Рибченко А.О.
40366,Ухвала,02.06.2006,,Господарське,4/471,Київський міжобласний апеляційний господарський суд,Рибченко А.О.
50407,Ухвала,02.06.2006,,Господарське,06/1245,Київський міжобласний апеляційний господарський суд,Рибченко А.О.
4699,Рішення,02.06.2006,,Господарське,67/15-06,Господарський суд Київської області,Грєхов А.С.
4700,Рішення,02.06.2006,,Господарське,68/15-06,Господарський суд Київської області,Грєхов А.С.
104760,Ухвала,02.06.2006,,Цивільне,22ц-1425/2006,Апеляційний суд Київської області,Голуб С.А.
104793,Ухвала,02.06.2006,,Цивільне,22ц-1815 2006,Апеляційний суд Київської області,Антоненко В.І.
104759,Ухвала,02.06.2006,,Цивільне,22-ц-1120/2006,Апеляційний суд Київської області,Дьоміна О.О.
104761,Ухвала,02.06.2006,,Цивільне,22-ц-1719/2006,Апеляційний суд Київської області,Голуб С.А.
117002,Рішення,02.06.2006,,Цивільне,22ц-1050/2006,Апеляційний суд Київської області,Коцюрба О.П.
117063,Ухвала,02.06.2006,,Адміністративне,22а-357/2006,Апеляційний суд Київської області,Приходько К.П.
104762,Рішення,02.06.2006,,Цивільне,22ц-1908/2006,Апеляційний суд Київської області,Поліщук М.А.
126147,Рішення,02.06.2006,,Цивільне,22ц-1050/2006,Апеляційний суд Київської області,Приходько К.П.
145134,Ухвала,02.06.2006,,Цивільне,2211-1707/2006,Апеляційний суд Київської області,Коцюрба О.П.
102373,Постанова,05.06.2006,,Господарське,63/13-06,Київський міжобласний апеляційний господарський суд,Мостова Г.І.
102380,Ухвала,05.06.2006,,Господарське,17/118,Київський міжобласний апеляційний господарський суд,Лобань О.І.
102390,Ухвала,05.06.2006,,Господарське,14/434,Київський міжобласний апеляційний господарський суд,Швець В.Ш.
102403,Ухвала,05.06.2006,,Господарське,16/998а,Київський міжобласний апеляційний господарський суд,Рудченко С.Г.
102404,Ухвала,05.06.2006,,Господарське,10-08/1043,Київський міжобласний апеляційний господарський суд,Рудченко С.Г.
102410,Ухвала,05.06.2006,,Господарське,01/2074а,Київський міжобласний апеляційний господарський суд,Рудченко С.Г.
102418,Ухвала,05.06.2006,,Господарське,41/106/67/8-06,Київський міжобласний апеляційний господарський суд,Рудченко С.Г.
102424,Ухвала,05.06.2006,,Господарське,04/168а,Київський міжобласний апеляційний господарський суд,Поліщук В.Ю.
102426,Ухвала,05.06.2006,,Господарське,5/124,Київський міжобласний апеляційний господарський суд,Мостова Г.І.
10533,Рішення,05.06.2006,,Господарське,125/13-06,Господарський суд Київської області,Грєхов А.С.
107350,Ухвала,05.06.2006,,Господарське,01/158,Київський міжобласний апеляційний господарський суд,Фаловська І.М.
1136,Постанова,05.06.2006,,Господарське,а165/13-06,Господарський суд Київської області,Короткевич О.Є.
1137,Ухвала,05.06.2006,,Господарське,а164/13-06,Господарський суд Київської області,Короткевич О.Є.
131437,Ухвала,05.06.2006,,Господарське,19/27-06,Київський міжобласний апеляційний господарський суд,Корсакова Г.В.
145885,Ухвала,05.06.2006,,Господарське,209/19-06,Господарський суд Київської області,Карпечкін Т.П.
165630,Ухвала,05.06.2006,,Господарське,09/3731,Київський міжобласний апеляційний господарський суд,Мельник С.М.
165650,Ухвала,05.06.2006,,Господарське,19/27-06,Київський міжобласний апеляційний господарський суд,Корсакова Г.В.
165668,Ухвала,05.06.2006,,Господарське,3/9,Київський міжобласний апеляційний господарський суд,Корсакова Г.В.
165670,Ухвала,05.06.2006,,Господарське,6138/15,Київський міжобласний апеляційний господарський суд,Корсакова Г.В.
40299,Постанова,05.06.2006,,Господарське,02-03/681/12,Київський міжобласний апеляційний господарський суд,Фаловська І.М.
102378,Ухвала,05.06.2006,,Господарське,5/605,Київський міжобласний апеляційний господарський суд,Міщенко П.К.
102385,Постанова,05.06.2006,,Господарське,5/93,Київський міжобласний апеляційний господарський суд,Мостова Г.І.
102402,Ухвала,05.06.2006,,Господарське,8/66,Київський міжобласний апеляційний господарський суд,Рудченко С.Г.
102414,Ухвала,05.06.2006,,Господарське,15/1252а,Київський міжобласний апеляційний господарський суд,Федоров М.О.
102417,Ухвала,05.06.2006,,Господарське,82/18-06,Київський міжобласний апеляційний господарський суд,Лобань О.І.
102432,Ухвала,05.06.2006,,Господарське,113/17-05,Київський міжобласний апеляційний господарський суд,Мостова Г.І.
107349,Ухвала,05.06.2006,,Господарське,05/793а,Київський міжобласний апеляційний господарський суд,Ткаченко Б.О.
107351,Ухвала,05.06.2006,,Господарське,22/431,Київський міжобласний апеляційний господарський суд,Міщенко П.К.
107355,Ухвала,05.06.2006,,Господарське,541/9-17,Київський міжобласний апеляційний господарський суд,Ткаченко Б.О.
