№ рішення,Форма судового рішення,Дата ухвалення рішення,Дата набрання законної сили,Форма судочинства,№ судової справи,Назва суду,Суддя
5988203,Рішення,08.04.2008,,Цивільне,2-150/08,Володарський районний суд Київської області,Ярмоленко Г.Л.
1714739,Рішення,08.04.2008,,Цивільне,2-256/2008,Яготинський районний суд Київської області,Карпович В.Д.
1796358,Рішення,08.04.2008,,Цивільне,2-305/2008,Яготинський районний суд Київської області,Литвин Л.І.
5995749,Постанова,08.04.2008,,Кримінальне,4-11/08,Таращанський районний суд Київської області,
3644735,Рішення,08.04.2008,,Цивільне,2/2“о”-51|08,Вишгородський районний суд Київської області,Купрієнко С.І.
1703584,Постанова,08.04.2008,,Адміністративне,2а-4929/2008,Білоцерківський міськрайонний суд Київської області,Закаблук О.В.
1712251,Ухвала,08.04.2008,,Господарське,а14/180-08,Господарський суд Київської області,Євграфова Є.П.
3779433,Ухвала,08.04.2008,,Цивільне,22-ц-1303/08,Апеляційний суд Київської області,Лащенко В.Д.
1796821,Рішення,08.04.2008,,Цивільне,2-279/2008,Богуславський районний суд Київської області,Бакуменко А.С.
3575746,Ухвала,08.04.2008,,Цивільне,22ц-1737/2008,Апеляційний суд Київської області,Мережко М.В.
6034643,Постанова,08.04.2008,,Адміністративне,2-а-662/2008,Таращанський районний суд Київської області,Василенко О.М.
6241305,Рішення,08.04.2008,,Цивільне,2-649/08,Фастівський міськрайонний суд Київської області,Науменко М.А.
6242384,Рішення,08.04.2008,,Цивільне,2-1007/2008,Ірпінський міський суд Київської області,Пархоменко О.В.
1796256,Рішення,08.04.2008,,Цивільне,2-245/2008,Яготинський районний суд Київської області,Литвин Л.І.
6262823,Рішення,08.04.2008,,Цивільне,2-880/08,Фастівський міськрайонний суд Київської області,Івасишин В.П.
6262824,Рішення,08.04.2008,,Цивільне,2-887/08,Фастівський міськрайонний суд Київської області,Соловей Г.В.
1796893,Рішення,08.04.2008,,Цивільне,2-304/2008,Яготинський районний суд Київської області,Литвин Л.І.
3779390,Рішення,08.04.2008,,Цивільне,22-ц-1234/08,Апеляційний суд Київської області,Лащенко В.Д.
6311862,Постанова,08.04.2008,,Адміністративне,2-а-951/2008,Таращанський районний суд Київської області,Василенко О.М.
6304452,Ухвала,08.04.2008,,Цивільне,2-907/2008,Фастівський міськрайонний суд Київської області,Бартко В.М.
1682206,Ухвала,08.04.2008,,Цивільне,2-707/2008,Макарівський районний суд Київської області,Дзюба Н.М.
1536158,Ухвала,08.04.2008,,Господарське,8/544,Київський міжобласний апеляційний господарський суд,Писана Т.П.
1758229,Постанова,08.04.2008,,Адміністративне,2-а-115/2008,Богуславський районний суд Київської області,Тітов М.Б.
1797397,Постанова,08.04.2008,,Адміністративне,2-а-110/2008,Богуславський районний суд Київської області,Тітов М.Б.
6354891,Ухвала,08.04.2008,,Цивільне,2-193/08,Фастівський міськрайонний суд Київської області,Науменко М.А.
6364911,Постанова,08.04.2008,,Адміністративне,2а-126/08,Баришівський районний суд Київської області,Литвиненко О.Л.
1710264,Рішення,08.04.2008,,Цивільне,2-339/2008,Макарівський районний суд Київської області,Тюхтій П.М.
2010314,Рішення,08.04.2008,,Цивільне,2-91/2008,Бородянський районний суд Київської області,Додатко В.Д.
6323512,Постанова,08.04.2008,,Адміністративне,2-а-964/2008,Таращанський районний суд Київської області,Василенко О.М.
1712280,Постанова,08.04.2008,,Господарське,а6/187-08,Господарський суд Київської області,Маляренко А.В.
6323026,Рішення,08.04.2008,,Цивільне,2-136/2008,Славутицький міський суд Київської області,Теремецька Н.Ф.
1796892,Ухвала,08.04.2008,,Цивільне,2-267/2008,Яготинський районний суд Київської області,Литвин Л.І.
1825200,Рішення,08.04.2008,,Цивільне,2-204/2008,Переяслав-Хмельницький міськрайонний суд Київської області,Коляденко І.В.
3779382,Ухвала,08.04.2008,,Цивільне,22ц-14522008,Апеляційний суд Київської області,Антоненко В.І.
3779452,Ухвала,08.04.2008,,Цивільне,22ц-1301/2008,Апеляційний суд Київської області,Корзаченко І.Ф.
1542940,Постанова,08.04.2008,,Господарське,а6/190-08,Господарський суд Київської області,Маляренко А.В.
1563165,Постанова,08.04.2008,,Господарське,а9/098-08,Господарський суд Київської області,Євграфова Є.П.
1708882,Ухвала,08.04.2008,,Господарське,10/657-07,Київський міжобласний апеляційний господарський суд,Рудченко С.Г.
1537081,Ухвала,08.04.2008,,Господарське,15/484-07,Київський міжобласний апеляційний господарський суд,Андрейцева Г.М.
1712279,Постанова,08.04.2008,,Господарське,а6/185-08,Господарський суд Київської області,Маляренко А.В.
1690929,Постанова,08.04.2008,,Адміністративне,2-а-4749/2008,Білоцерківський міськрайонний суд Київської області,Дмитренко А.М.
1929887,Ухвала,08.04.2008,,Цивільне,6-47/2008,Яготинський районний суд Київської області,Литвин Л.І.
1714734,Рішення,08.04.2008,,Цивільне,2-212/2008,Яготинський районний суд Київської області,Литвин Л.І.
1714754,Вирок,08.04.2008,,Кримінальне,1-106/2008,Білоцерківський міськрайонний суд Київської області,
3576207,Рішення,08.04.2008,,Цивільне,7/2-1084/07,Вишгородський районний суд Київської області,Чірков Г.Є.
3575775,Ухвала,08.04.2008,,Цивільне,22ц-1757/2008,Апеляційний суд Київської області,Мережко М.В.
5615605,Постанова,08.04.2008,,Адміністративне,2-а-462008,Володарський районний суд Київської області,Юзвик М.М.
